"DateTime","Number of Large Transactions","Price"
"2015-08-25 00:00:00",723,211.41
"2015-08-26 00:00:00",604,224.74
"2015-08-27 00:00:00",320,225.22
"2015-08-28 00:00:00",458,227.21
"2015-08-29 00:00:00",291,229.72
"2015-08-30 00:00:00",183,228.88
"2015-08-31 00:00:00",380,228
"2015-09-01 00:00:00",368,228.61
"2015-09-02 00:00:00",469,228.08
"2015-09-03 00:00:00",284,227.49
"2015-09-04 00:00:00",362,228.41
"2015-09-05 00:00:00",238,231.95
"2015-09-06 00:00:00",341,239.19
"2015-09-07 00:00:00",230,240.08
"2015-09-08 00:00:00",343,242.81
"2015-09-09 00:00:00",469,240.42
"2015-09-10 00:00:00",389,237.47
"2015-09-11 00:00:00",439,239.2
"2015-09-12 00:00:00",232,236.82
"2015-09-13 00:00:00",231,232.22
"2015-09-14 00:00:00",410,229.3
"2015-09-15 00:00:00",415,235.43
"2015-09-16 00:00:00",427,227.97
"2015-09-17 00:00:00",436,231.56
"2015-09-18 00:00:00",271,232.64
"2015-09-19 00:00:00",415,231.78
"2015-09-20 00:00:00",383,231.3
"2015-09-21 00:00:00",602,228.32
"2015-09-22 00:00:00",494,228.66
"2015-09-23 00:00:00",457,230.35
"2015-09-24 00:00:00",392,232.71
"2015-09-25 00:00:00",477,235.14
"2015-09-26 00:00:00",296,234.23
"2015-09-27 00:00:00",193,233.3
"2015-09-28 00:00:00",478,236.38
"2015-09-29 00:00:00",545,237.6
"2015-09-30 00:00:00",507,236.11
"2015-10-01 00:00:00",547,236.68
"2015-10-02 00:00:00",466,236.8
"2015-10-03 00:00:00",284,237.8
"2015-10-04 00:00:00",470,257.54
"2015-10-05 00:00:00",620,238.47
"2015-10-06 00:00:00",824,243.49
"2015-10-07 00:00:00",638,244.47
"2015-10-08 00:00:00",759,243.18
"2015-10-09 00:00:00",714,242.95
"2015-10-10 00:00:00",710,244.41
"2015-10-11 00:00:00",552,246.37
"2015-10-12 00:00:00",691,246.34
"2015-10-13 00:00:00",952,247.15
"2015-10-14 00:00:00",884,251.67
"2015-10-15 00:00:00",947,253.96
"2015-10-16 00:00:00",890,260.6
"2015-10-17 00:00:00",591,268.58
"2015-10-18 00:00:00",387,265.99
"2015-10-19 00:00:00",583,262.92
"2015-10-20 00:00:00",580,267.41
"2015-10-21 00:00:00",435,267.86
"2015-10-22 00:00:00",619,272.77
"2015-10-23 00:00:00",572,276.47
"2015-10-24 00:00:00",731,280.03
"2015-10-25 00:00:00",776,288.65
"2015-10-26 00:00:00",781,283.62
"2015-10-27 00:00:00",1153,291.76
"2015-10-28 00:00:00",1234,300.74
"2015-10-29 00:00:00",1589,309.32
"2015-10-30 00:00:00",1875,322.87
"2015-10-31 00:00:00",1365,318.93
"2015-11-01 00:00:00",1156,314.53
"2015-11-02 00:00:00",2121,342.75
"2015-11-03 00:00:00",2841,385.68
"2015-11-04 00:00:00",2973,430.71
"2015-11-05 00:00:00",2747,406.66
"2015-11-06 00:00:00",2128,372.6
"2015-11-07 00:00:00",1509,380.37
"2015-11-08 00:00:00",1119,377.64
"2015-11-09 00:00:00",2170,372.64
"2015-11-10 00:00:00",1842,352.29
